"ID","X.SampleID","City","Treatment","Dilution","Packaging","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","taxa_reads","filtered_taxa_reads","microbiome_raw_mapped_reads","microbiome_CSS_counts","microbiome_domain_Richness","microbiome_domain_Shannon","microbiome_phylum_Richness","microbiome_phylum_Shannon","microbiome_class_Richness","microbiome_class_Shannon","microbiome_order_Richness","microbiome_order_Shannon","microbiome_family_Richness","microbiome_family_Shannon","microbiome_genus_Richness","microbiome_genus_Shannon","microbiome_species_Richness","microbiome_species_Shannon","Level","Value"
"1","FC_112","FC_112","Fort Collins","RWA",NA,"Vacuum",90,"Store6","Whole Foods",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,78,1.5511050260699,123,1.78890314581778,155,2.31655013172194,193,1.98001846366065,79,2.44659233794107,"Domain",2.90332102268534
"2","FC_112","FC_112","Fort Collins","RWA",NA,"Vacuum",90,"Store6","Whole Foods",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,78,1.5511050260699,123,1.78890314581778,155,2.31655013172194,193,1.98001846366065,79,2.44659233794107,"Phylum",27.4334379646365
"3","FC_112","FC_112","Fort Collins","RWA",NA,"Vacuum",90,"Store6","Whole Foods",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,78,1.5511050260699,123,1.78890314581778,155,2.31655013172194,193,1.98001846366065,79,2.44659233794107,"Class",76.2483047278069
"4","FC_112","FC_112","Fort Collins","RWA",NA,"Vacuum",90,"Store6","Whole Foods",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,78,1.5511050260699,123,1.78890314581778,155,2.31655013172194,193,1.98001846366065,79,2.44659233794107,"Order",121.439749731237
"5","FC_112","FC_112","Fort Collins","RWA",NA,"Vacuum",90,"Store6","Whole Foods",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,78,1.5511050260699,123,1.78890314581778,155,2.31655013172194,193,1.98001846366065,79,2.44659233794107,"Family",153.116944384211
"6","FC_112","FC_112","Fort Collins","RWA",NA,"Vacuum",90,"Store6","Whole Foods",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,78,1.5511050260699,123,1.78890314581778,155,2.31655013172194,193,1.98001846366065,79,2.44659233794107,"Genus",191.063202426625
"7","FC_112","FC_112","Fort Collins","RWA",NA,"Vacuum",90,"Store6","Whole Foods",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,78,1.5511050260699,123,1.78890314581778,155,2.31655013172194,193,1.98001846366065,79,2.44659233794107,"Species",77.375693447202
"8","FC_113","FC_113","Fort Collins","RWA",NA,"Vacuum",90,"Store2","Natural Grocers",202019,188456,45206,45039,168405,29954.6424759873,3,0.0454702108665021,26,1.22531425302833,72,1.58220925769638,103,1.80057962637842,136,2.32135751438935,158,2.01877555248607,74,1.45848512801639,"Domain",2.7690618953297
"9","FC_113","FC_113","Fort Collins","RWA",NA,"Vacuum",90,"Store2","Natural Grocers",202019,188456,45206,45039,168405,29954.6424759873,3,0.0454702108665021,26,1.22531425302833,72,1.58220925769638,103,1.80057962637842,136,2.32135751438935,158,2.01877555248607,74,1.45848512801639,"Phylum",25.7222272834989
"10","FC_113","FC_113","Fort Collins","RWA",NA,"Vacuum",90,"Store2","Natural Grocers",202019,188456,45206,45039,168405,29954.6424759873,3,0.0454702108665021,26,1.22531425302833,72,1.58220925769638,103,1.80057962637842,136,2.32135751438935,158,2.01877555248607,74,1.45848512801639,"Class",69.81875089946
