"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Granulicella",0,0,0,0.204123290467442,7.08215297450426,0,15.1285930408472,0,0,0,0,20.7910750507099,17.3731758165393,9.85568461809222,0,0
"Rhodoplanes",129.64439483336,173.959445037353,38.0078636959371,57.7668912022862,25.4957507082153,0,0,0,0,62.9779577147998,0,37.0182555780933,169.562195969423,128.123900035199,0,26.0137719969396
"Bacillus",56.9287195024717,88.5805763073639,61.5989515072085,62.8699734639723,31.1614730878187,52.1628498727736,31.7700453857792,70.07299270073,29.2072322670376,48.582995951417,24.640657084189,106.490872210953,59.7637248088951,38.718760999648,0,101.759755164499
"Dokdonella",2.71089140487961,2.84596229099964,0,18.5752194325373,0,0,0,17.5182481751825,0,12.1457489878543,0,9.63488843813388,0,7.03977472720873,0,0
"Niabella",0,0,0,1.02061645233721,0,0,0,0,0,0,0,0,0,0,0,0
"Reyranella",11.0030298198055,12.9847029526859,0,9.59379465196979,0,0,0,0,0,6.7476383265857,6.16016427104724,6.08519269776877,21.5427380125087,9.50369588173179,0,7.65110941086458
"Massilia",46.5635464838144,62.0775524724298,9.17431192660552,23.065931822821,0,0,0,37.9562043795621,0,40.4858299595142,0,0,0,36.254839845125,0,0
"Burkholderia",21.8465954393239,40.5549626467449,13.1061598951507,36.1298224127373,0,21.6284987277354,0,39.4160583941606,20.8623087621697,28.3400809716599,14.3737166324436,56.7951318458418,76.4419735927728,43.2946145723337,82.9103214890018,7.65110941086458
"Skermanella",5.10285440918514,6.93703308431163,0,7.14431516636048,0,0,0,0,0,0,0,0,0,2.11193241816262,0,0
"[Prevotella]",0,0.355745286374956,0,6.7360685854256,0,0,0,0,0,0,0,12.6774847870183,0,0,0,3.06044376434583
"Dehalobacter_Syntrophobotulus",0,0,0,1.63298632373954,0,0,0,0,0,0,0,4.56389452332657,0,0,0,0
"Selenomonas",3.18928400574071,0,0,1.22473974280465,7.08215297450426,0,0,0,0,3.14889788573999,0,4.56389452332657,0,5.27983104540655,0,0
"Candidatus Nitrososphaera",101.738159783129,231.768054073284,0,7.96080832823025,4.24929178470256,0,0,0,0,0.899685110211426,0,2.02839756592292,0,0,0,4.59066564651875
"Janthinobacterium",8.61106681549992,2.84596229099964,0,0,33.9943342776204,50.8905852417303,0,0,59.8052851182198,30.1394511920828,36.9609856262834,101.926977687627,11.8137595552467,8.79971840901091,147.208121827411,379.495026778883
"Mucilaginibacter",4.62446180832403,10.8502312344361,0,4.49071239028373,0,0,0,0,0,0,0,0,0,0,0,0
"Rubrobacter",122.946898421304,161.50836001423,64.2201834862386,46.9483568075117,26.9121813031162,43.2569974554708,22.6928895612708,37.9562043795621,45.8970792767734,76.4732343679713,16.4271047227926,86.2068965517242,9.728978457262,73.2136571629708,13.5363790186125,8.41622035195104
"Schlegelella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1277735271615
"Acinetobacter",43.5337266783607,66.3464959089292,85.1900393184798,93.8967136150235,1001.4164305949,77.6081424936388,90.7715582450834,150.36496350365,40.3337969401948,57.1300044984256,18.4804928131417,141.987829614605,15.9833217512161,42.9426258359733,28.7648054145517,278.500382555471
"Haliangium",0,0,0,0.81649316186977,0,0,0,0,0,0,0,0,0,0,0,0
"Kaistobacter",128.209217030777,204.553539665599,93.0537352555702,112.063686466626,32.5779036827196,0,28.7443267776097,0,0,99.4152046783626,0,16.7342799188641,0,95.0369588173179,0,78.8064269319052
"Iodobacter",586.030936054856,2587.33546780505,2850.58977719529,533.986527862829,32432.0113314448,3790.07633587787,3111.95158850227,3439.41605839417,5492.35048678721,12848.8529014845,4858.31622176592,1000,499.65253648367,512.143611404435,1179.35702199662,22945.6771231829
"Candidatus Solibacter",9.4083878169351,5.33617929562433,0,9.59379465196979,0,0,0,11.6788321167883,0,12.1457489878543,0,19.7768762677485,11.8137595552467,8.79971840901091,0,0
"DA101",810.556530059002,1070.25969405905,51.1140235910879,91.4472341294142,0,0,0,0,16.6898470097358,81.8713450292398,0,6.5922920892495,24.322446143155,181.978176698346,27.0727580372251,44.3764345830146
"Deinococcus",4.30553340774996,3.02383493418712,0,1.83710961420698,0,0,0,0,0,2.69905533063428,4.10677618069816,0,0,2.11193241816262,0,0
"Azospirillum",1.43517780258332,2.49021700462469,0,2.85772606654419,0,12.7226463104326,0,0,0,0,0,0,0,0,0,0
"Ruminococcus",0,0.533617929562433,6.55307994757537,9.38967136150235,8.49858356940511,0,0,0,0,0,20.5338809034908,8.62068965517242,17.3731758165393,0,0,8.41622035195104
"Hyphomicrobium",1.11624940200925,1.77872643187478,0,8.57317819963258,0,0,0,0,0,0,0,5.57809330628803,11.8137595552467,7.39176346356917,0,0
"T78",0.478392600861107,0,5.24246395806029,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Xiphinematobacter",11.4814224206666,9.07150480256137,0,1.02061645233721,0,0,0,0,0,0,0,6.5922920892495,12.5086865879083,14.4315381907779,0,0
"Psychrobacter",12.4382076223888,5.51405193881181,43.2503276539974,20.2082057562768,0,188.295165394402,21.1800302571861,23.3576642335767,38.9429763560501,12.1457489878543,22.5872689938399,28.9046653144016,0,8.44772967265048,0,7.65110941086458
"Phenylobacterium",30.2981980545368,37.7090003557453,0,18.9834660134721,0,0,0,0,0,20.2429149797571,0,3.04259634888438,0,31.6789862724393,13.5363790186125,0
"Blautia",1.59464200287036,3.37958022056208,13.1061598951507,27.9648907940396,0,8.90585241730281,0,0,12.5173852573018,0,0,102.434077079108,29.186935371786,3.51988736360437,0,58.1484315225708
"Gracilibacillus",0,0,0,0.408246580934885,0,0,0,0,0,0,0,0,0,0,0,0
"Chitinophaga",13.554457024398,22.2340803984347,0,2.04123290467442,0,0,0,0,0,3.14889788573999,0,0,0,10.9116508271735,0,6.12088752869166
"Allobaculum",0.956785201722213,0,0,14.4927536231884,0,10.1781170483461,21.1800302571861,8.75912408759126,0,8.54700854700855,14.3737166324436,3.04259634888438,5.55941626129257,0,0,0
