"Phylum","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Nitrospirae",44.4905118800829,66.5243685521167,23.5910878112713,35.1092059604001,7.08215297450426,0,0,17.5182481751825,0,26.5407107512371,0,6.5922920892495,4.16956219596943,13.727560718057,0,23.7184391736802
"Proteobacteria",3344.28320841971,5466.91568836713,8389.25294888599,4678.09757093285,40055.2407932012,11786.2595419847,12818.4568835099,24811.6788321168,116636.995827538,23356.7251461989,26273.1006160165,8332.65720081136,5247.39402362752,34667.3706441394,227739.424703892,46149.961744453
"Chloroflexi",158.188486684739,145.499822127357,91.7431192660552,107.981220657277,28.328611898017,24.1730279898219,18.1543116490167,24.8175182481752,22.2531293463144,105.713000449843,8.21355236139632,61.8661257606491,34.7463516330786,98.5568461809222,10.1522842639594,27.5439938791125
"Actinobacteria",1543.77292297879,1782.28388473853,399.737876802097,701.979995917534,245.042492917847,164.12213740458,204.236006051438,289.051094890511,107.093184979138,873.144399460189,197.125256673512,5728.19472616633,421.125781792912,1139.73952833509,211.505922165821,292.272379495027
"Acidobacteria",516.664008929995,642.120241906795,144.167758846658,322.718922229026,24.0793201133145,27.9898218829517,28.7443267776097,52.5547445255475,13.9082058414465,256.410256410257,55.4414784394252,282.961460446248,296.038915913829,488.208377331926,116.751269035533,179.035960214231
"Firmicutes",15018.0194546324,18078.4418356457,200115.334207078,10353.5415390896,182150.14164306,139010.178117048,182276.853252648,123414.598540146,80411.6828929069,46802.0692757535,136078.028747434,19409.7363083164,99840.1667824879,20004.2238648363,72043.9932318106,93443.7643458302
"Planctomycetes",138.414925849147,210.956954820349,6.55307994757537,30.6184935701163,0,0,6.05143721633889,32.1167883211679,0,13.9451192082771,0,13.6916835699797,5.55941626129257,21.8233016543471,8.46023688663284,10.7115531752104
"Bacteroidetes",173.337585712008,221.985058697972,56.3564875491482,422.739334558073,228.045325779037,34.351145038168,22.6928895612708,170.802919708029,23.643949930459,73.774179037337,53.3880903490761,244.421906693712,51.4246004169563,138.683562126012,23.688663282572,574.59831675593
"Tenericutes",5.90017541062032,5.86979722518677,22.2804718217563,11.2267809757093,5.66572237960341,0,4.53857791225417,5.83941605839417,0,0,18.4804928131417,0,4.864489228631,0.703977472720873,6.76818950930627,14.5371078806427
"Chlorobi",2.2324988040185,3.91319815012451,0,3.47009593794652,0,3.81679389312978,0,0,0,0,0,2.53549695740365,0,2.81590989088349,0,0
