"Class","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Nitrospira",279,374,18,172,5,0,0,12,0,59,0,13,6,39,0,31
"Gammaproteobacteria",8727,6468,3703,11330,5061,6061,6330,14301,79618,20501,10208,12586,5568,93293,133594,28811
"Anaerolineae",43,28,4,163,6,5,4,17,4,16,0,25,6,18,0,26
"Thermoleophilia",4472,4469,117,1155,22,2,24,23,19,851,25,237,360,1484,83,25
"Actinobacteria",3904,4086,125,1675,116,84,68,127,25,790,51,10667,191,1383,34,330
"Acidobacteriia",1009,767,26,439,5,10,19,8,0,176,10,261,364,712,69,65
"Alphaproteobacteria",5155,6147,249,4405,143,120,65,126,148,1415,92,898,991,2392,129,476
"Bacilli",93192,101109,152485,47789,128111,108912,120123,84185,57308,103071,65892,27991,139841,54361,41119,121108
"Planctomycetia",585,735,0,59,0,0,0,11,0,17,0,8,8,24,5,11
"Acidobacteria-6",534,721,34,387,0,4,0,0,0,116,13,77,8,224,0,64
"[Saprospirae]",785,939,0,199,2,0,0,12,0,85,11,38,26,232,0,65
"Clostridia",964,523,200,2811,479,342,348,346,508,947,371,10257,3821,2465,1459,1009
"Phycisphaerae",249,441,5,51,0,0,0,4,0,8,0,8,0,23,0,3
"Betaproteobacteria",5974,17229,2362,5446,23030,3066,2057,2509,4070,29580,2476,2718,931,2425,860,30943
"Solibacteres",189,206,18,182,7,0,0,12,0,34,4,81,17,64,0,22
"Mollicutes",37,30,17,55,4,0,3,4,0,0,9,0,3,2,4,19
"Bacteroidia",121,85,31,1475,58,20,15,92,8,24,6,339,12,16,14,595
"Rubrobacteria",777,922,49,230,19,34,15,26,33,170,8,170,14,208,8,11
"Ignavibacteria",0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0
"unclassified_class",158,149,3,212,0,0,5,10,0,37,13,66,11,68,0,18
"Thaumarchaeota",638,1303,7,48,3,0,0,0,0,2,0,4,0,0,0,6
"Deltaproteobacteria",1013,790,79,1574,45,17,21,51,26,407,19,224,55,324,11,85
"Sphingobacteriia",78,111,0,69,0,0,0,3,0,0,0,45,20,121,0,7
"DA052",56,46,0,45,0,8,0,4,0,22,0,67,37,81,0,9
"[Chloracidobacteria]",1083,1660,16,247,0,0,0,0,0,116,0,9,0,172,0,52
"Acidimicrobiia",258,212,7,267,10,0,12,10,0,79,8,77,41,113,0,0
"[Spartobacteria]",5390,6250,46,480,0,0,0,0,12,220,0,32,53,622,16,65
"Deinococci",45,17,0,35,0,0,0,0,0,15,2,10,0,11,0,0
"Gemmatimonadetes",1207,1571,86,591,0,13,6,10,5,293,14,24,7,288,3,62
"Gemm-5",57,30,3,121,4,0,0,2,12,25,6,6,0,12,0,0
"S085",33,28,7,33,0,0,0,0,0,5,0,0,6,6,0,0
"PRR-12",28,13,0,38,3,0,0,3,0,3,0,4,0,11,0,10
"BD7-11",0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0
"C0119",83,82,11,33,0,0,0,0,0,22,0,5,12,26,0,0
"Gitt-GS-136",19,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"[Pedosphaerae]",231,175,14,95,0,0,0,0,0,62,0,22,4,74,0,11
"Erysipelotrichi",22,5,3,109,8,8,14,8,0,23,7,28,8,6,0,14
"MB-A2-108",235,308,7,75,0,0,0,0,0,42,4,0,0,50,0,0
"Cytophagia",53,77,12,216,5,5,0,7,6,45,7,49,0,17,0,11
"ABS-6",16,7,0,35,0,0,0,0,0,4,0,0,0,0,0,0
"OS-K",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Ktedonobacteria",47,20,3,30,0,0,0,0,0,6,0,12,0,15,0,4
"Gemm-1",303,266,7,256,0,0,0,10,11,139,18,13,0,73,0,0
"0319-6E2",160,117,7,59,0,3,0,5,2,45,0,6,0,33,0,4
"Ellin6529",453,366,45,94,14,14,8,0,10,113,0,27,0,140,6,0
"TK10",189,215,0,60,0,0,0,0,2,31,4,16,26,52,0,0
"Dehalococcoidetes",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydiia",0,10,3,5,0,0,0,0,0,0,0,12,5,0,0,0
"S035",20,24,0,4,0,0,0,0,2,0,0,0,0,8,0,6
"Thermomicrobia",34,47,0,71,0,0,0,0,0,24,0,11,0,5,0,6
"iii1-8",229,146,16,164,0,0,0,5,8,58,0,28,0,92,0,0
"Chthonomonadetes",32,8,0,4,0,0,0,0,0,0,0,0,7,6,0,0
"BPC102",4,0,0,5,0,0,0,4,0,0,0,5,0,0,0,0
"Verrucomicrobiae",25,16,5,267,0,6,0,16,3,0,0,19,0,4,0,4
"[Fimbriimonadia]",20,38,0,39,2,0,0,4,0,10,0,0,0,6,0,0
"TG3",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Opitutae",17,0,3,27,0,0,0,0,0,0,0,10,0,0,0,8
"[Rhodothermi]",5,4,0,50,0,2,0,3,3,10,2,5,0,0,0,0
"koll11",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Armatimonadia",32,63,4,6,0,0,0,0,0,4,0,18,11,15,0,2
"TK17",33,0,0,23,0,0,0,0,0,12,0,18,0,5,0,0
"OM190",34,3,0,4,0,0,0,0,0,6,0,0,0,15,0,0
"Coriobacteriia",0,0,0,18,6,9,13,8,0,2,0,138,0,0,0,16
"Thermoplasmata",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteriia",0,0,0,12,0,0,0,19,0,0,0,5,0,0,0,0
"Holophagae",10,0,0,14,0,0,0,0,0,6,0,6,0,8,0,0
"OPB56",8,19,0,3,0,0,0,0,0,0,0,0,0,8,0,0
"OP8_1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"CK-1C4-19",0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"At12OctB3",6,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"PRR-11",19,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0
"Synergistia",3,0,0,0,0,0,2,0,0,0,0,11,0,3,0,0
"Verruco-5",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
"Chloroflexi",44,21,0,5,0,0,0,0,0,6,0,0,0,7,0,0
"SC3",2,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0
"SBRH58",2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
"Sva0725",25,0,0,40,5,0,0,0,0,17,0,9,0,0,0,16
"TM7-1",40,11,0,6,0,0,0,0,0,5,0,0,0,7,0,0
"Flavobacteriia",39,25,0,62,96,0,0,0,0,0,0,6,12,8,0,64
"ZB2",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Deferribacteres",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
"SAR202",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Elusimicrobia",19,14,3,11,0,0,0,0,0,6,2,0,0,19,0,5
"Epsilonproteobacteria",8,0,0,40,0,0,0,0,0,0,0,0,0,2,0,3
"TA18",0,4,3,8,0,0,0,0,0,0,0,6,0,0,0,0
"SJA-176",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Gemm-3",0,0,0,25,0,0,2,0,0,3,0,8,0,0,0,0
"TM1",0,15,0,15,0,0,0,0,0,0,0,10,0,0,0,0
"[Brocadiae]",0,2,0,6,0,0,4,7,0,0,0,0,0,0,0,0
"RB25",0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"OPB41",2,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0
"[Parvarchaea]",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"ML635J-21",2,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0
"SHA-26",3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
"4C0d-2",15,4,0,5,0,0,0,0,0,0,0,0,0,12,3,0
"Gemm-2",12,0,0,23,0,2,0,0,0,3,3,0,0,0,0,0
"Nitriliruptoria",0,3,0,7,0,0,3,0,0,0,0,7,0,0,0,0
"SJA-28",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Spirochaetes",0,5,0,7,3,0,0,1,0,0,0,2,0,0,0,2
"Fibrobacteria",0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
"Acidobacteria-5",70,18,0,21,0,0,0,0,0,20,0,0,0,18,0,0
"JG37-AG-4",0,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"SHA-37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GN05",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"BSV26",0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
"wb1-A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"TM7-3",6,0,0,2,0,0,0,0,0,0,0,0,0,3,0,6
"Synechococcophycideae",0,2,0,3,0,0,0,0,0,0,0,3,0,2,0,0
"12-24",9,0,0,11,0,0,0,0,0,6,0,0,0,5,0,0
"Gemm-4",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"OPB50",4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"SJA-4",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vadinHA49",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillatoriophycideae",5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODP123",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobacteria",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"P2-11E",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHA-109",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"PAUC37f",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"[Leptospirae]",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
