"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Granulicella",0,0,0,1,5,0,10,0,0,0,0,41,25,28,0,0
"Rhodoplanes",813,978,29,283,18,0,0,0,0,140,0,73,244,364,0,34
"Bacillus",357,498,47,308,22,41,21,48,21,108,12,210,86,110,0,133
"Dokdonella",17,16,0,91,0,0,0,12,0,27,0,19,0,20,0,0
"Niabella",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Reyranella",69,73,0,47,0,0,0,0,0,15,3,12,31,27,0,10
"Massilia",292,349,7,113,0,0,0,26,0,90,0,0,0,103,0,0
"Burkholderia",137,228,10,177,0,17,0,27,15,63,7,112,110,123,49,10
"Skermanella",32,39,0,35,0,0,0,0,0,0,0,0,0,6,0,0
"[Prevotella]",0,2,0,33,0,0,0,0,0,0,0,25,0,0,0,4
"Dehalobacter_Syntrophobotulus",0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0
"Selenomonas",20,0,0,6,5,0,0,0,0,7,0,9,0,15,0,0
"Candidatus Nitrososphaera",638,1303,0,39,3,0,0,0,0,2,0,4,0,0,0,6
"Janthinobacterium",54,16,0,0,24,40,0,0,43,67,18,201,17,25,87,496
"Mucilaginibacter",29,61,0,22,0,0,0,0,0,0,0,0,0,0,0,0
"Rubrobacter",771,908,49,230,19,34,15,26,33,170,8,170,14,208,8,11
"Schlegelella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"Acinetobacter",273,373,65,460,707,61,60,103,29,127,9,280,23,122,17,364
"Haliangium",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Kaistobacter",804,1150,71,549,23,0,19,0,0,221,0,33,0,270,0,103
"Iodobacter",3675,14546,2175,2616,22897,2979,2057,2356,3949,28563,2366,1972,719,1455,697,29990
"Candidatus Solibacter",59,30,0,47,0,0,0,8,0,27,0,39,17,25,0,0
"DA101",5083,6017,39,448,0,0,0,0,12,182,0,13,35,517,16,58
"Deinococcus",27,17,0,9,0,0,0,0,0,6,2,0,0,6,0,0
"Azospirillum",9,14,0,14,0,10,0,0,0,0,0,0,0,0,0,0
"Ruminococcus",0,3,5,46,6,0,0,0,0,0,10,17,25,0,0,11
"Hyphomicrobium",7,10,0,42,0,0,0,0,0,0,0,11,17,21,0,0
"T78",3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Xiphinematobacter",72,51,0,5,0,0,0,0,0,0,0,13,18,41,0,0
"Psychrobacter",78,31,33,99,0,148,14,16,28,27,11,57,0,24,0,10
"Phenylobacterium",190,212,0,93,0,0,0,0,0,45,0,6,0,90,8,0
"Blautia",10,19,10,137,0,7,0,0,9,0,0,202,42,10,0,76
"Gracilibacillus",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Chitinophaga",85,125,0,10,0,0,0,0,0,7,0,0,0,31,0,8
"Allobaculum",6,0,0,71,0,8,14,6,0,19,7,6,8,0,0,0
"Pseudonocardia",135,230,0,26,0,0,0,0,0,27,0,0,0,38,0,0
"Pseudomonas",2145,1960,1292,2997,1005,1894,872,6079,408,1311,1344,1544,335,520,932,4796
"Adhaeribacter",0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Thermobacillus",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"Aquicella",49,0,0,46,0,3,0,0,0,27,0,36,0,28,0,0
"Novosphingobium",28,29,0,52,0,15,0,0,0,0,0,0,7,0,9,0
"Segetibacter",81,77,0,8,0,0,0,0,0,8,0,0,0,15,0,0
"Bradyrhizobium",47,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luteibacter",130,146,0,38,0,0,0,0,0,49,0,0,12,59,0,0
"Lysobacter",7,0,10,380,0,29,0,0,61,81,57,17,0,0,0,21
"Clostridium",162,86,14,579,258,137,207,150,302,557,237,6678,3230,1987,949,116
"Oxalobacter",4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"Ruegeria",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmata",14,26,0,14,0,0,0,0,0,0,0,0,0,0,2,0
"Weissella",42,6,9,54,164,21,62,6,154,128,86,338,1376,469,363,13
"Caulobacter",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amycolatopsis",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgisporangium",10,77,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces",139,127,18,99,0,0,0,9,0,0,0,0,0,30,0,0
"Ellin506",122,138,0,11,0,0,0,0,0,34,0,0,0,13,0,0
"Lactococcus",28989,57290,116275,25387,53801,12593,26578,22151,20362,46544,40846,6426,31181,13583,16010,89970
"Oscillospira",36,13,0,137,4,0,0,6,0,0,4,16,23,14,0,24
"Rikenella",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoxanthomonas",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17
"Staphylococcus",120,29,11,65,88,93,76,65,12,89,0,62,27,71,26,115
"Gracilibacter",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Parachlamydia",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
