"Order","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Nitrospirales",279,374,18,172,5,0,0,12,0,59,0,13,6,39,0,31
"Alteromonadales",14,9,3,86,0,0,0,23,0,9,0,15,0,0,0,30
"CFB-26",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2
"Gaiellales",2034,2111,72,325,0,2,0,0,0,300,0,45,76,508,8,12
"Actinomycetales",3671,3843,116,1599,116,76,60,87,19,790,51,868,164,1268,24,322
"Acidobacteriales",1009,767,26,439,5,10,19,8,0,176,10,261,364,712,69,65
"Rhizobiales",2309,2597,107,1782,88,23,43,68,91,581,41,448,701,1223,72,207
"Bacillales",1544,1473,501,1571,308,1698,213,389,136,558,224,742,259,579,96,576
"Pirellulales",46,16,0,17,0,0,0,3,0,5,0,0,0,0,3,11
"Xanthomonadales",1520,1463,140,2631,88,116,82,116,228,866,176,517,192,640,13,235
"iii1-15",511,706,29,368,0,0,0,0,0,110,13,69,8,215,0,64
"[Saprospirales]",785,939,0,199,2,0,0,12,0,85,11,38,26,232,0,65
"Clostridiales",941,511,196,2612,479,339,348,346,508,947,371,10257,3821,2462,1459,1009
"WD2101",222,400,0,17,0,0,0,0,0,4,0,8,0,21,0,0
"Ellin329",73,216,0,83,0,0,0,0,0,21,0,22,69,56,0,7
"Rhodospirillales",832,912,27,715,21,35,0,16,16,251,20,214,125,421,31,13
"Burkholderiales",1310,1562,93,1482,99,63,0,103,72,558,50,518,140,564,151,823
"Solibacterales",189,206,18,182,7,0,0,12,0,34,4,81,17,64,0,22
"Mycoplasmatales",0,0,3,3,0,0,3,0,0,0,9,0,3,0,0,0
"Bacteroidales",121,85,31,1475,58,20,15,92,8,24,6,339,12,16,14,595
"Rubrobacterales",777,922,49,230,19,34,15,26,33,170,8,170,14,208,8,11
"Ignavibacteriales",0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0
"Nitrososphaerales",638,1303,0,39,3,0,0,0,0,2,0,4,0,0,0,6
"Myxococcales",539,358,31,768,13,5,9,14,19,251,3,138,20,155,6,16
"Sphingobacteriales",78,111,0,69,0,0,0,3,0,0,0,45,20,121,0,7
"Ellin6513",56,46,0,45,0,8,0,4,0,22,0,67,37,81,0,9
"Solirubrobacterales",2438,2358,45,823,22,0,24,23,19,551,25,192,284,976,75,13
"Pseudomonadales",2529,2364,1392,3634,1720,2103,946,6205,465,1514,1364,1931,362,711,949,5189
"RB41",1017,1627,16,233,0,0,0,0,0,105,0,9,0,157,0,46
"Sphingomonadales",1474,1954,94,1103,23,39,19,12,19,375,0,92,50,475,9,214
"Neisseriales",3686,14553,2175,2685,22903,2979,2057,2365,3949,28563,2366,1982,719,1455,704,29990
"Acidimicrobiales",258,212,7,267,10,0,12,10,0,79,8,77,41,113,0,0
"[Chthoniobacterales]",5390,6250,46,480,0,0,0,0,12,220,0,32,53,622,16,65
"Deinococcales",27,17,0,32,0,0,0,0,0,10,2,0,0,6,0,0
"PK29",20,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0
"RF39",34,30,14,52,4,0,0,0,0,0,0,0,0,0,4,19
"[Entotheonellales]",78,189,0,41,0,0,0,4,0,16,0,0,0,17,0,0
"SBR1031",14,21,0,96,0,3,0,9,4,16,0,17,2,12,0,13
"Anaerolineales",3,0,4,18,0,0,0,2,0,0,0,0,0,0,0,0
"Sediment-1",21,13,0,22,3,0,0,3,0,3,0,0,0,6,0,10
"Lactobacillales",91611,99636,151965,45971,127772,107178,119898,83774,57143,102454,65641,27215,139568,53767,41015,120532
"Thiotrichales",24,6,0,272,15,17,0,17,30,96,22,55,15,11,0,0
"MIZ46",31,15,0,20,0,0,0,0,0,16,0,6,0,6,0,0
"Gemmatales",530,716,0,36,0,0,0,8,0,12,0,3,8,24,2,0
"Caulobacterales",319,384,0,157,0,0,0,0,0,69,0,45,41,154,8,9
"Syntrophobacterales",245,191,19,240,11,8,12,10,0,83,7,19,24,99,5,9
"C114",4,5,0,26,0,0,0,0,0,0,0,0,0,0,0,8
"[Marinicellales]",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
