"Phylum","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Nitrospirae",279,374,18,172,5,0,0,12,0,59,0,13,6,39,0,31
"Proteobacteria",20972,30735,6401,22918,28279,9264,8473,16996,83862,51922,12795,16432,7551,98490,134594,60318
"Chloroflexi",992,818,70,529,20,19,12,17,16,235,4,122,50,280,6,36
"Actinobacteria",9681,10020,305,3439,173,129,135,198,77,1941,96,11296,606,3238,125,382
"Acidobacteria",3240,3610,110,1581,17,22,19,36,10,570,27,558,426,1387,69,234
"Firmicutes",94178,101637,152688,50722,128598,109262,120485,84539,57816,104041,66270,38276,143670,56832,42578,122131
"Planctomycetes",868,1186,5,150,0,0,4,22,0,31,0,27,8,62,5,14
"Bacteroidetes",1087,1248,43,2071,161,27,15,117,17,164,26,482,74,394,14,751
"Tenericutes",37,33,17,55,4,0,3,4,0,0,9,0,7,2,4,19
"Chlorobi",14,22,0,17,0,3,0,0,0,0,0,5,0,8,0,0
"unclassified_phylum",71,44,3,87,0,0,5,4,0,14,13,8,0,16,0,13
"Crenarchaeota",638,1303,7,48,3,0,0,0,0,2,0,4,0,0,0,6
"Verrucomicrobia",5663,6441,68,869,0,6,0,16,15,285,0,86,57,700,16,88
"[Thermi]",45,17,0,35,0,0,0,0,0,15,2,10,0,11,0,0
"Gemmatimonadetes",1598,1881,96,1042,4,15,8,22,28,470,41,55,7,378,3,62
"WS3",28,13,0,38,3,0,0,3,0,3,0,4,0,11,0,10
"WPS-2",39,70,0,23,0,0,0,0,0,9,0,29,11,39,0,0
"AD3",16,14,0,35,0,0,0,0,0,4,0,0,0,12,0,0
"Armatimonadetes",248,231,11,114,2,3,0,9,2,59,0,24,18,60,0,6
"Chlamydiae",0,10,3,5,0,0,0,0,0,0,0,12,5,0,0,0
"Fibrobacteres",0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0
"OP3",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"TM7",49,11,0,18,0,0,0,0,0,8,0,0,0,10,0,6
"OD1",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Euryarchaeota",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteria",0,0,0,12,0,0,0,19,0,0,0,5,0,0,0,0
"OP8",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"BRC1",19,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0
"Synergistetes",3,0,0,0,0,0,2,0,0,0,0,11,0,3,0,0
"TM6",2,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0
"GN04",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Deferribacteres",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
"Elusimicrobia",19,14,3,11,0,0,0,0,0,6,2,0,0,19,0,5
"FBP",6,8,0,0,0,0,0,0,0,2,0,3,0,0,0,0
"[Parvarchaeota]",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"Cyanobacteria",22,17,0,10,0,0,0,0,0,0,0,8,0,14,3,0
"Spirochaetes",0,5,0,14,3,0,0,1,0,0,0,4,0,0,0,2
"GAL15",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
"NC10",9,0,0,11,0,0,0,0,0,6,0,0,0,5,0,10
"BHI80-139",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"WS4",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"NKB19",0,0,0,8,0,0,0,3,0,0,0,10,0,0,0,0
"WS2",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
