"Species","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"unclassified_genus unclassified_species",16993,17761,881,12543,336,393,393,541,334,4241,385,2874,1611,5991,333,1961
"Granulicella mallensis",0,0,0,0,5,0,10,0,0,0,0,5,0,0,0,0
"Rhodoplanes unclassified_species",813,978,29,273,18,0,0,0,0,140,0,73,244,364,0,34
"Bacillus badius",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,59
"Dokdonella unclassified_species",17,16,0,91,0,0,0,12,0,27,0,19,0,20,0,0
"Niabella unclassified_species",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Reyranella massiliensis",69,73,0,47,0,0,0,0,0,15,3,12,31,27,0,10
"Burkholderia unclassified_species",50,79,0,98,0,17,0,27,15,33,0,0,0,20,0,0
"Skermanella unclassified_species",32,39,0,35,0,0,0,0,0,0,0,0,0,6,0,0
"[Prevotella] unclassified_species",0,2,0,33,0,0,0,0,0,0,0,25,0,0,0,4
"Dehalobacter_Syntrophobotulus unclassified_species",0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0
"Candidatus Nitrososphaera SCA1170",338,877,0,7,0,0,0,0,0,2,0,0,0,0,0,6
"Janthinobacterium unclassified_species",17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mucilaginibacter kameinonensis",0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubrobacter unclassified_species",771,908,49,230,19,34,15,26,33,170,8,170,14,208,8,11
"Schlegelella unclassified_species",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"Acinetobacter unclassified_species",201,214,53,315,686,0,38,13,0,82,0,98,0,63,17,247
"Haliangium unclassified_species",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Kaistobacter unclassified_species",804,1150,71,549,23,0,19,0,0,221,0,33,0,270,0,103
"Iodobacter fluviatilis",3675,14546,2175,2616,22897,2979,2057,2356,3949,28563,2366,1972,719,1455,697,29990
"Candidatus Solibacter unclassified_species",59,30,0,47,0,0,0,8,0,27,0,39,17,25,0,0
"DA101 unclassified_species",5083,6017,39,448,0,0,0,0,12,182,0,13,35,517,16,58
"Deinococcus unclassified_species",12,8,0,3,0,0,0,0,0,0,2,0,0,0,0,0
"Candidatus Nitrososphaera unclassified_species",243,367,0,7,3,0,0,0,0,0,0,0,0,0,0,0
"Azospirillum unclassified_species",9,14,0,14,0,10,0,0,0,0,0,0,0,0,0,0
"Ruminococcus unclassified_species",0,3,5,29,6,0,0,0,0,0,10,17,6,0,0,11
"Hyphomicrobium unclassified_species",7,10,0,42,0,0,0,0,0,0,0,11,17,21,0,0
"T78 unclassified_species",3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Xiphinematobacter unclassified_species",72,51,0,5,0,0,0,0,0,0,0,13,18,41,0,0
"Psychrobacter sanguinis",23,0,0,23,0,0,0,0,13,15,0,27,0,12,0,0
"Phenylobacterium unclassified_species",190,212,0,93,0,0,0,0,0,45,0,6,0,90,8,0
"Blautia unclassified_species",10,19,10,62,0,7,0,0,9,0,0,192,23,10,0,12
"Candidatus Nitrososphaera gargensis",24,40,0,9,0,0,0,0,0,0,0,4,0,0,0,0
"Gracilibacillus halotolerans",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Chitinophaga unclassified_species",55,45,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"Allobaculum unclassified_species",6,0,0,71,0,8,14,6,0,19,7,6,8,0,0,0
"Pseudonocardia unclassified_species",135,165,0,26,0,0,0,0,0,27,0,0,0,38,0,0
"Adhaeribacter unclassified_species",0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Aquicella unclassified_species",49,0,0,46,0,3,0,0,0,27,0,36,0,28,0,0
"Novosphingobium naphthalenivorans",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Segetibacter unclassified_species",81,77,0,8,0,0,0,0,0,8,0,0,0,15,0,0
"Bradyrhizobium unclassified_species",47,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luteibacter rhizovicinus",130,146,0,38,0,0,0,0,0,49,0,0,12,59,0,0
"Lysobacter unclassified_species",7,0,10,86,0,0,0,0,6,12,0,13,0,0,0,0
"Acinetobacter rhizosphaerae",26,0,0,19,0,0,0,0,16,18,0,66,0,16,0,25
"Oxalobacter formigenes",4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"Ruegeria lacuscaerulensis",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmata unclassified_species",14,26,0,14,0,0,0,0,0,0,0,0,0,0,2,0
"Weissella unclassified_species",0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"Caulobacter henricii",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amycolatopsis unclassified_species",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgisporangium ochraceum",0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudonocardia halophobica",0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellin506 unclassified_species",122,138,0,11,0,0,0,0,0,34,0,0,0,13,0,0
"Lactococcus unclassified_species",28989,57290,116275,25387,53801,12593,26578,22151,20353,46544,40846,6406,31127,13564,15993,89970
"Oscillospira unclassified_species",36,13,0,137,4,0,0,6,0,0,4,16,23,14,0,24
"Rikenella unclassified_species",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus sciuri",0,0,0,17,0,0,0,0,0,0,0,11,0,0,0,15
"Lysobacter brunescens",0,0,0,268,0,25,0,0,55,69,57,0,0,0,0,21
"Gracilibacter unclassified_species",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Parachlamydia acanthamoebae",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprococcus eutactus",10,0,0,11,0,0,0,0,0,0,0,0,0,0,15,0
"p-75-a5 unclassified_species",10,5,0,7,5,0,0,0,0,0,0,0,0,0,0,0
"Serratia marcescens",205,87,49,951,0,34,27,56,0,124,0,240,0,90,0,27
"Teredinibacter turnerae",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yonghaparkia unclassified_species",34,44,0,0,0,0,0,0,0,0,0,13,0,24,0,0
"Dok59 unclassified_species",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"Coprococcus unclassified_species",15,12,0,41,9,0,0,0,0,9,0,0,0,17,0,36
"Sphingomonas azotifigens",96,154,0,57,0,0,0,0,0,28,0,0,0,33,0,25
"Agrobacterium unclassified_species",18,9,0,61,0,0,0,0,0,11,0,15,0,15,0,10
"Bacillus flexus",96,154,11,43,0,0,0,0,0,41,0,13,0,39,0,0
"Saccharomonospora unclassified_species",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Labrys unclassified_species",29,33,0,0,0,0,0,0,0,14,0,0,0,29,0,0
"Clostridium unclassified_species",53,0,0,56,236,114,144,112,177,378,169,1321,522,268,93,41
"Chthoniobacter unclassified_species",8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"Vitreoscilla unclassified_species",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Lachnobacterium unclassified_species",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"Plesiocystis unclassified_species",21,0,0,58,0,0,0,0,0,8,0,0,0,14,0,0
"Rheinheimera pacifica",14,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0
"Opitutus unclassified_species",17,0,3,11,0,0,0,0,0,0,0,0,0,0,0,8
"Clostridium butyricum",12,23,0,195,8,0,9,16,50,85,49,3939,1862,1231,593,7
"Rhodobacter unclassified_species",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharopolyspora unclassified_species",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"Corynebacterium unclassified_species",5,0,8,23,0,0,0,5,0,15,0,19,8,18,0,37
"Caloramator unclassified_species",13,4,0,22,0,0,0,0,0,6,0,0,0,6,0,0
"Rothia nasimurium",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"[Ruminococcus] gnavus",0,0,0,32,0,0,0,0,0,0,0,0,15,0,0,14
"Mesorhizobium unclassified_species",88,67,0,53,0,0,0,0,0,17,0,0,0,31,0,12
"Porphyromonas unclassified_species",0,0,0,6,0,0,0,0,0,2,0,8,0,0,0,0
"Bacteroides uniformis",8,15,0,43,0,0,0,0,0,0,0,0,0,0,0,0
"Rhizobium unclassified_species",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,13
"Bacteroides plebeius",0,7,0,41,0,0,0,4,0,0,0,0,0,0,0,0
"Symbiobacterium unclassified_species",10,5,0,34,3,0,0,0,0,9,0,0,4,3,0,0
"Clostridium perfringens",0,22,8,74,9,18,15,11,75,49,19,1177,769,442,227,10
"Variovorax paradoxus",15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"Bacteroides unclassified_species",6,0,7,159,9,9,8,0,0,5,6,42,12,4,0,8
"Dehalobacterium unclassified_species",0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,19
"Nocardioides unclassified_species",31,67,0,0,0,0,0,0,0,14,0,0,0,40,0,0
"Terracoccus unclassified_species",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geobacter unclassified_species",0,0,0,94,0,4,0,8,0,0,0,0,5,0,0,0
"Adlercreutzia unclassified_species",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,16
"Sphingopyxis alaskensis",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Coxiella burnetii",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Buchnera unclassified_species",13,27,6,35,0,11,7,9,0,0,0,0,0,0,0,0
"u114 unclassified_species",0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"Roseburia unclassified_species",119,99,51,117,17,0,0,0,0,8,21,0,0,0,325,7
"Rhodoplanes elegans",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicella sapmiensis",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Succinivibrio unclassified_species",0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
"Nitrosococcus unclassified_species",0,0,0,91,0,0,0,0,14,26,15,17,0,0,0,0
"Stenotrophomonas retroflexus",12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dongia mobilis",0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Flavisolibacter unclassified_species",92,107,0,45,0,0,0,0,0,6,0,0,0,36,0,0
"Megasphaera unclassified_species",20,25,6,36,18,26,19,17,0,0,0,182,7,0,0,0
"Sutterella unclassified_species",26,6,0,75,0,0,0,8,0,20,0,0,4,13,0,35
"Uliginosibacterium unclassified_species",0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,6
"SHD-231 unclassified_species",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Erysipelothrix unclassified_species",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Prevotella unclassified_species",0,0,0,15,7,0,0,0,0,0,0,66,0,6,10,0
"Sphingomonas wittichii",26,33,0,32,0,0,0,0,0,0,0,0,10,10,0,0
"Brevundimonas staleyi",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Aeromonas sharmana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Dialister unclassified_species",15,8,0,9,0,0,0,0,0,0,0,11,0,7,0,0
"Actinomycetospora unclassified_species",15,0,0,6,0,0,0,0,0,0,0,17,0,0,0,0
"Wolbachia unclassified_species",0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Massilia timonae",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Pedobacter unclassified_species",20,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio mexicanus",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Perlucidibaca unclassified_species",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Actinoplanes tereljensis",11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Desulfosporosinus meridiei",0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0
"Faecalibacterium prausnitzii",39,17,13,59,11,8,10,0,10,8,3,628,15,22,9,0
"Veillonella parvula",0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0
"Holdemania unclassified_species",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Iamia unclassified_species",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"Terriglobus unclassified_species",106,110,0,30,0,0,0,0,0,0,0,0,10,40,0,0
"Thermomonas dokdonensis",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,28
"Stenotrophomonas geniculata",105,28,19,152,41,35,22,35,22,37,15,132,11,37,0,70
"Panacagrimonas perspica",0,0,0,25,0,0,0,0,0,0,0,9,0,0,0,0
"Facklamia unclassified_species",0,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0
"Luteimonas unclassified_species",0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Koribacter unclassified_species",72,0,0,62,0,0,0,0,0,21,0,31,0,32,0,22
"Lactobacillus unclassified_species",52675,29489,19069,12923,57145,50200,68622,49361,30197,52678,18209,13925,65755,32442,10092,29588
"Cohnella unclassified_species",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Aminiphilus unclassified_species",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Pseudomonas unclassified_species",0,0,0,170,36,0,0,47,22,105,25,281,0,0,0,612
"Kineosporia aurantiaca",0,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Alicyclobacillus unclassified_species",118,91,5,32,0,0,0,0,0,44,0,8,3,45,0,0
"Thiobacillus unclassified_species",0,0,4,22,0,0,0,0,0,0,0,11,0,0,0,0
"Agrobacterium sullae",15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrosovibrio tenuis",393,332,31,392,0,0,0,0,49,251,44,23,0,159,0,0
"Clostridium stercorarium",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Megamonas unclassified_species",0,0,0,6,0,9,0,0,0,0,0,13,0,0,0,0
"Modestobacter unclassified_species",16,38,0,0,0,0,0,0,0,0,0,37,35,45,0,0
"Asticcacaulis unclassified_species",7,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0
"Tepidimonas unclassified_species",0,0,0,35,0,0,0,0,0,0,0,9,0,0,9,72
"Finegoldia unclassified_species",0,0,0,5,5,0,0,5,0,0,0,8,0,0,0,0
"Caldicoprobacter unclassified_species",0,0,0,12,0,0,0,0,0,0,0,16,0,0,0,0
"Atopobium unclassified_species",0,0,0,3,6,9,13,8,0,0,0,138,0,0,0,0
"Aquincola tertiaricarbonis",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonas terrigena",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfobulbus unclassified_species",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Bdellovibrio unclassified_species",8,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3
"Saccharibacter floricola",0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0
"Aminobacter unclassified_species",0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,9
"Leuconostoc unclassified_species",3179,7371,10501,3141,6315,2044,9828,2424,1968,423,1989,259,20125,531,7258,196
"Pelotomaculum unclassified_species",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Lactococcus garvieae",0,0,0,0,0,0,0,0,9,0,0,20,54,19,17,0
"Prevotella copri",0,0,0,34,7,0,0,6,0,0,0,7,0,0,0,0
"Sedimentibacter unclassified_species",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Crenothrix unclassified_species",10,0,0,13,0,0,0,0,0,6,0,0,0,4,0,0
"Pedomicrobium unclassified_species",19,0,0,0,0,0,0,0,0,8,0,0,13,29,5,0
"Nannocystis unclassified_species",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blvii28 unclassified_species",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Bifidobacterium thermacidophilum",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Bacteroides caccae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Flavobacterium unclassified_species",5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6
"Bosea genosp.",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseomonas lacus",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Niastella unclassified_species",0,0,0,0,0,0,0,12,0,0,11,0,0,0,0,0
"Mucispirillum schaedleri",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
"Haemophilus influenzae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Devosia unclassified_species",46,87,0,93,0,0,0,0,14,27,0,11,0,23,0,13
"Agromyces unclassified_species",0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
"Paenibacillus chondroitinus",0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella dispar",6,4,0,21,35,43,30,19,0,0,0,1619,19,20,0,0
"Solirubrobacter unclassified_species",46,60,0,47,0,0,0,0,0,32,0,18,0,31,0,0
"Bilophila unclassified_species",5,0,0,18,0,0,0,0,0,7,0,0,0,0,0,7
"Anaeromyxobacter unclassified_species",37,0,0,20,0,0,0,0,0,0,0,13,0,0,6,0
"Limnobacter unclassified_species",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"Flexispira unclassified_species",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Enhydrobacter aerosaccus",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcus unclassified_species",0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,4
"Coprobacillus cateniformis",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7
"Actinoplanes globisporus",11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steroidobacter unclassified_species",60,60,0,168,0,0,0,0,0,68,11,0,0,18,0,16
"Rhodanobacter unclassified_species",190,163,15,56,0,0,0,0,0,60,0,0,0,52,0,0
"Desulfovibrio unclassified_species",0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0
"Pseudomonas stutzeri",0,10,0,0,6,0,0,27,0,0,0,0,0,0,0,0
"Lactobacillus zeae",0,0,0,60,0,0,0,0,0,0,0,63,0,0,0,0
"[Ruminococcus] unclassified_species",0,0,0,10,9,0,0,11,0,0,0,10,0,0,0,0
"OR-59 unclassified_species",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
"[Eubacterium] dolichum",6,0,3,6,0,0,0,0,0,4,0,0,0,3,0,0
"Paenibacillus curdlanolyticus",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lautropia unclassified_species",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter unclassified_species",37,0,15,174,21,28,12,22,29,59,27,20,8,15,8,0
"Hymenobacter unclassified_species",40,38,0,0,0,0,0,0,0,5,0,0,0,10,0,0
"[Clostridium] sordellii",0,0,0,0,0,0,0,0,15,21,8,7,0,0,0,0
"Candidatus Jettenia unclassified_species",0,2,0,6,0,0,4,7,0,0,0,0,0,0,0,0
"Clostridium ramosum",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Cellvibrio unclassified_species",0,0,3,19,0,0,0,0,0,0,0,8,0,0,0,0
"Mycoplana unclassified_species",13,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospira unclassified_species",21,17,0,37,0,0,0,0,0,0,0,110,8,0,0,0
"YRC22 unclassified_species",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Brevibacillus unclassified_species",12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Chryseomicrobium imtechense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"Butyricicoccus pullicaecorum",0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0
"Sphingomonas unclassified_species",41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardia unclassified_species",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea longicatena",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Cenarchaeum symbiosum",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Bulleidia moorei",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Fimbriimonas unclassified_species",12,38,0,18,0,0,0,4,0,7,0,0,0,6,0,0
"Streptomyces lanatus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Janthinobacterium lividum",37,0,0,0,24,40,0,0,43,67,18,201,17,25,87,496
"Alloscardovia unclassified_species",0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
"Streptococcus unclassified_species",13,16,0,16,335,240,314,206,0,10,0,1588,69,33,0,14
"Kribbella unclassified_species",84,80,0,29,0,0,0,0,0,26,0,9,0,20,0,5
"Sphingomonas changbaiensis",58,36,0,19,0,0,0,0,0,8,0,0,0,14,0,0
"Desulfococcus unclassified_species",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Sphingobacterium unclassified_species",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
"Gardnerella unclassified_species",20,0,0,13,0,0,0,0,0,0,0,30,0,9,0,0
"Brachymonas petroleovorans",7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodanobacter spathiphylli",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingobium unclassified_species",0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus alactolyticus",0,0,0,0,0,0,0,0,15,0,0,0,24,0,81,29
"Phascolarctobacterium unclassified_species",3,5,0,17,8,9,0,0,0,0,0,25,0,0,0,0
"Nannocystis exedens",9,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0
"Novosphingobium nitrogenifigens",16,0,0,0,0,15,0,0,0,0,0,0,0,0,9,0
"Rhodanobacter lindaniclasticus",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
