"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"[Leptospirillaceae]",1.11624940200925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OM60",0,0,0,3.06184935701164,0,0,0,7.29927007299271,0,0,0,0,0,0,0,0
"unclassified_family",1380.16265348429,1688.18925649235,626.474442988205,1310.47152480098,296.033994334278,244.274809160306,414.523449319214,369.343065693431,204.450625869263,1009.89653621233,365.503080082136,700.304259634888,332.175121612231,994.016191481872,162.436548223351,580.719204284622
"Gaiellaceae",314.622867166321,370.686588402704,86.5006553079949,61.0328638497653,0,0,0,0,0,123.256860098965,0,14.7058823529412,31.2717164697707,157.690953889476,0,9.1813312930375
"Acidobacteriaceae",105.565300590018,102.2767698328,7.86369593709044,43.8865074505001,7.08215297450426,0,15.1285930408472,0,0,56.6801619433199,0,70.4868154158215,188.325225851286,178.810278071102,99.8307952622675,32.8997704667177
"Hyphomicrobiaceae",161.37777069048,210.601209533974,53.735255570118,117.166768728312,25.4957507082153,17.8117048346056,0,0,19.4714881780251,92.6675663517769,26.694045174538,81.6430020283976,216.122307157749,186.554030271031,33.8409475465314,35.9602142310635
"Bacillaceae",58.8422899059161,91.960156527926,89.121887287025,80.0163298632374,31.1614730878187,52.1628498727736,31.7700453857792,70.07299270073,86.2308762169681,60.7287449392713,24.640657084189,118.15415821501,59.7637248088951,38.718760999648,30.4568527918782,147.666411629686
"Pirellulaceae",7.33535321320364,2.84596229099964,0,3.47009593794652,0,0,0,4.37956204379563,0,2.24921277552857,0,0,0,0,5.0761421319797,8.41622035195104
"Xanthomonadaceae",213.04417158348,226.609747420847,129.750982961992,291.28393549704,99.1501416430596,101.781170483461,68.0786686838125,87.5912408759125,155.7719054242,260.458839406208,147.843942505134,153.144016227181,54.2043085476025,180.922210489264,0,155.317521040551
"Chitinophagaceae",122.149577419869,166.133048737104,0,39.8040416411513,0,0,0,17.5182481751825,0,38.2366171839856,22.5872689938399,12.6774847870183,18.0681028492008,80.2534318901795,0,49.7322111706198
"mb2424",3.98660500717589,2.31234436143721,3.93184796854522,4.89895897121862,0,0,0,0,0,0,0,0,0,3.8718760999648,0,4.59066564651875
"Ruminococcaceae",33.1685536597034,13.5183208822483,28.8335517693316,75.3214941824862,53.8243626062324,10.1781170483461,15.1285930408472,71.5328467153286,13.9082058414465,15.2946468735942,34.9075975359344,349.898580121704,52.8144544822794,22.1752903907075,60.9137055837565,71.9204284621271
"Rhodospirillaceae",83.5592409504066,110.458911419424,35.386631716907,117.166768728312,22.6628895184136,38.1679389312978,0,14.5985401459854,18.0806675938804,91.3180386864598,34.9075975359344,50.2028397565923,46.5601111883253,84.1253079901443,0,9.94644223412396
"Oxalobacteraceae",92.1703077659066,125.222340803984,60.2883355176934,98.9997958767095,48.158640226629,50.8905852417303,0,64.2335766423359,59.8052851182198,116.059379217274,63.6550308008215,111.05476673428,11.8137595552467,78.8454769447378,157.360406091371,397.092578423872
