Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Tetracycline resistance ribosomal protection proteins,TreatmentCONV...TreatmentRWA,-0.124566153954396,-2.81860606790858,2.56947375999978,13.6881317277624,-0.0945063053077885,0.925347437389739,0.925347437389739,-8.65139302502152
Class A betalactamases,TreatmentCONV...TreatmentRWA,0.373148147637941,-0.402081974153609,1.14837826942949,10.1052978012215,0.983819454296636,0.333222995738817,0.372425701119854,-8.16381580017138
Tetracycline resistance major facilitator superfamily MFS efflux pumps,TreatmentCONV...TreatmentRWA,4.09187350619351,1.5554604657843,6.62828654660272,9.93222924800232,3.2973646483455,0.00255435066045361,0.00510870132090722,-3.87400508605226
Multi-drug efflux pumps,TreatmentCONV...TreatmentRWA,2.93902441493531,1.54608662434768,4.33196220552294,8.50480991247847,4.32598039917965,0.000180641026629769,0.000403785824231249,-1.20396683120049
Aminoglycoside O-nucleotidyltransferases,TreatmentCONV...TreatmentRWA,-0.618013968799002,-1.3563474416657,0.120319504067695,8.03140270136675,-1.71084430563867,0.0976316606708643,0.119677519532027,-7.21383886528432
MDR regulator,TreatmentCONV...TreatmentRWA,3.40502582773946,2.41679903865885,4.39325261682008,6.78259127177888,7.10318640414237,2.13216948404134e-07,6.23249541489006e-07,5.69513642847825
Sulfonamide-resistant dihydropteroate synthases,TreatmentCONV...TreatmentRWA,-0.39573353619119,-1.37260803134615,0.581140958963767,5.72830955585799,-0.835190153499243,0.411682121427671,0.446969160407186,-8.21934231813186
Aminoglycoside N-acetyltransferases,TreatmentCONV...TreatmentRWA,1.2609871571613,0.466843395622768,2.05513091869983,5.72373273405669,3.26727269195169,0.00310178347630526,0.00568739965627317,-3.97952714597462
Class C betalactamases,TreatmentCONV...TreatmentRWA,1.69567838504893,0.252467954735336,3.13888881536252,5.62864638250035,2.43222602974267,0.0233093526953352,0.0328057556452865,-5.78176209440789
Lincosamide nucleotidyltransferases,TreatmentCONV...TreatmentRWA,-0.852354200871495,-4.95763468681752,3.25292628507453,3.82033477957007,-0.445765135300743,0.662656386830998,0.699470630543832,-8.22526764063084
Aminoglycoside efflux pumps,TreatmentCONV...TreatmentRWA,1.72146331811709,-0.244102534543736,3.68702917077792,3.68041473801017,1.83241370303651,0.0825246910879726,0.104531275378099,-6.81962739318294
Lincosamide efflux pump,TreatmentCONV...TreatmentRWA,2.56895904495841,0.638988433461626,4.4989296564552,3.61762188864277,2.81292929321586,0.0121546349197639,0.0189496143968745,-4.89971381431902
Dihydrofolate reductase,TreatmentCONV...TreatmentRWA,-1.36404834533355,-2.40602153211435,-0.322075158552741,3.55813840216066,-2.73659900581317,0.0129655256399668,0.0189496143968745,-5.13458154677131
Cationic antimicrobial peptide efflux pumps,TreatmentCONV...TreatmentRWA,3.56825562333035,1.42307858815877,5.71343265850193,2.80860399927517,3.57507004848543,0.00314303665215096,0.00568739965627317,-3.4800047579532
Macrolide resistance efflux pumps,TreatmentCONV...TreatmentRWA,-1.39430970022116,-2.42619708181167,-0.362422318630659,2.17348285984092,-2.98340103028823,0.012769697536079,0.0189496143968745,-4.58798839052467
Chloramphenicol acetyltransferases,TreatmentCONV...TreatmentRWA,-2.13362605254052,-2.87604299733566,-1.39120910774538,1.73320374800336,-6.56840771555829,0.000138292111211168,0.000328443764126524,0.5821195603264
Macrolide esterases,TreatmentCONV...TreatmentRWA,0.170584945087767,-1.93063844108435,2.27180833125988,1.56991279319744,0.177491189440381,0.86217350150309,0.885475488030201,-8.1524081539542
Phenicol efflux pumps,TreatmentCONV...TreatmentRWA,-0.957946061376743,-2.08927181468474,0.173379691931254,1.40818473427515,-2.23945304606294,0.0802848100478007,0.104531275378099,-5.78472988324052
