Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
betalactams,TreatmentCONV...TreatmentRWA,0.639163122997543,-0.214275560047459,1.49260180604254,10.4346722299889,1.53874975444243,0.135837482993789,0.291080320700977,-6.06155942671544
Multi-drug resistance,TreatmentCONV...TreatmentRWA,2.54672457219181,-0.836816832287643,5.93026597667126,9.17403903291952,3.88106066048409,0.000700540682438113,0.00210162204731434,-1.16024982138092
Aminoglycosides,TreatmentCONV...TreatmentRWA,0.555654674170405,-0.797888024929267,1.90919737327008,8.97710803517046,1.0620045831106,0.297909795238546,0.496516325397576,-6.66174648987265
Sulfonamides,TreatmentCONV...TreatmentRWA,-0.435822509993299,-1.02022601650243,0.148580996515836,5.72830955585799,-0.678181748163636,0.504921791897755,0.757382687846633,-6.85825268977096
Cationic antimicrobial peptides,TreatmentCONV...TreatmentRWA,5.90851685304159,4.96683977621546,6.85019392986771,3.71259385468654,6.60940904544032,1.1592792137485e-05,8.69459410311378e-05,3.584131510836
Trimethoprim,TreatmentCONV...TreatmentRWA,-0.368642479253297,-1.19191125618017,0.45462629767358,3.55813840216066,-1.07962969777989,0.297090196023996,0.496516325397576,-6.398143893481
Phenicol,TreatmentCONV...TreatmentRWA,-1.28285785339068,-453.797595114438,451.231879407657,3.0015366110779,-2.32526479327895,0.038971550827591,0.0974288770689774,-4.61354475034174
Bacitracin,TreatmentCONV...TreatmentRWA,4.31610851707727,3.24111166767098,5.39110536648356,1.00720948919482,12.7569889899302,0.000225720057423644,0.000846450215338663,1.06016542818476
Fosfomycin,TreatmentCONV...TreatmentRWA,5.22350386319848,3.0302782299708,7.41672949642616,0.598178742267172,18.9352876727066,0.000146895776234685,0.000734478881173425,0.968716084852581
Aminocoumarins,TreatmentCONV...TreatmentRWA,4.00247052170476,2.08549709048488,5.91944395292465,0.500826463567145,16.5386208437048,1.85645887117453e-06,2.7846883067618e-05,5.53448882525168
