Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Lactobacillus,TreatmentCONV...TreatmentRWA,-0.138658383805637,-0.789914600105915,0.51259783249464,14.4974811094987,-0.417606942632735,0.676289991396107,0.730184566545926,-6.76997508987436
Lactococcus,TreatmentCONV...TreatmentRWA,-0.114435744000284,-0.765691960300561,0.536820472299994,14.3813542035223,-0.344653960822511,0.730399376660143,0.776627185309519,-6.79747759655227
Iodobacter,TreatmentCONV...TreatmentRWA,-0.0441780472022515,-0.695434263502529,0.607078169098026,11.3906626037088,-0.133054047777433,0.89416720056127,0.900600058119265,-6.84746995125255
Photobacterium,TreatmentCONV...TreatmentRWA,2.96972253910441,2.31846632280414,3.62097875540469,11.3498161620011,8.94411658339621,1.00145094196573e-18,2.10304697812804e-16,32.7078014722433
Leuconostoc,TreatmentCONV...TreatmentRWA,-1.54404944995416,-2.19530566625443,-0.892793233653879,10.7958637991233,-4.65031938474748,3.58391818507295e-06,3.77479048043327e-05,3.83902965644254
Pseudomonas,TreatmentCONV...TreatmentRWA,-0.598736909392109,-1.24999312569239,0.0525193069081685,9.95703847698726,-1.80325692042608,0.0715340579662814,0.129348204934083,-5.24802271499397
Clostridium,TreatmentCONV...TreatmentRWA,2.88494326512245,2.23368704882218,3.53619948142273,7.94140001163704,8.68878104266282,8.81288643303118e-18,9.25353075468274e-16,30.4811074587219
Carnobacterium,TreatmentCONV...TreatmentRWA,-2.40571983708319,-3.05697605338346,-1.75446362078291,7.93279174948335,-7.2454710521037,6.64549559359231e-13,4.65184691551461e-11,19.1070115068376
Acinetobacter,TreatmentCONV...TreatmentRWA,-1.16697785257064,-1.81823406887091,-0.51572163627036,6.23848965906209,-3.51466705262668,0.00045244633057747,0.00236393206860519,-0.746890094835523
Brochothrix,TreatmentCONV...TreatmentRWA,-2.21685448991799,-2.86811070621826,-1.56559827361771,6.16089147994683,-6.67665236235548,3.35085509381007e-11,1.56373237711136e-09,15.1904502551423
