Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Firmicutes,TreatmentCONV...TreatmentRWA,-0.157700918098525,-1.01523142156867,0.699829585371622,15.9103475223814,-0.362207440487985,0.717505481808605,0.857020436604723,-6.75399097108536
Proteobacteria,TreatmentCONV...TreatmentRWA,1.67109454008293,0.813564036612785,2.52862504355308,14.1368871001951,3.83816964083069,0.000157370575218157,0.00338346736719037,0.460707490396261
Actinobacteria,TreatmentCONV...TreatmentRWA,0.0972716648007257,-0.760258838669422,0.954802168270873,8.88223725237493,0.223413542319799,0.823397588451656,0.89296032921666,-6.79415542456991
Acidobacteria,TreatmentCONV...TreatmentRWA,0.423296393794859,-0.434234109675289,1.28082689726501,6.96269545292265,0.972227081572481,0.331884905625188,0.684899251692189,-6.35174106960266
Bacteroidetes,TreatmentCONV...TreatmentRWA,-0.450596698816467,-1.30812720228661,0.406933804653681,6.62340520410104,-1.03493041726416,0.301709541195175,0.684899251692189,-6.28955015315807
Gemmatimonadetes,TreatmentCONV...TreatmentRWA,-0.600744218111871,-1.45827472158202,0.256786285358277,5.56732749168096,-1.37978921273187,0.168894295211455,0.605204557841047,-5.87805674844988
Chloroflexi,TreatmentCONV...TreatmentRWA,-0.715487735685296,-1.57301823915544,0.142042767784852,5.42855248473355,-1.64333210337562,0.101581440510635,0.605204557841047,-5.48436007979806
Verrucomicrobia,TreatmentCONV...TreatmentRWA,-1.02640281612642,-1.97581375007627,-0.0769918821765646,5.17597484711204,-2.12929742564998,0.034215062740355,0.294249539567053,-4.48385199799458
Planctomycetes,TreatmentCONV...TreatmentRWA,-1.53515744601265,-2.51380540453858,-0.556509487486718,3.2758943046437,-3.08957791493077,0.00223282460709855,0.0240028645263094,-1.98825434018114
Armatimonadetes,TreatmentCONV...TreatmentRWA,-0.435654315615478,-1.38377602833393,0.512467397102972,3.02751833163654,-0.905004317817721,0.36634146020745,0.684899251692189,-6.31602448406666
Nitrospirae,TreatmentCONV...TreatmentRWA,-1.05299297864327,-2.09130508157093,-0.0146808757156163,2.94942735939481,-1.99742408390755,0.046871680740111,0.335913711970796,-4.66945304128972
Tenericutes,TreatmentCONV...TreatmentRWA,-0.328721756109671,-1.31668320150005,0.659239689280708,2.2637603822942,-0.655331697374222,0.512861651536124,0.787608964859048,-6.4677405222487
unclassified_phylum,TreatmentCONV...TreatmentRWA,-0.0393380552441953,-1.06174493677472,0.983068826286332,2.20923708193557,-0.0757812640327007,0.939654219494998,0.962026939006784,-6.64259973025962
Crenarchaeota,TreatmentCONV...TreatmentRWA,-3.60473265201634,-4.72504714823747,-2.48441815579521,1.79528599616932,-6.33732278446737,1.09442529477381e-09,4.70602876752739e-08,13.1271800977002
WPS-2,TreatmentCONV...TreatmentRWA,0.312919814070146,-0.9911321253442,1.61697175348449,1.40077592670882,0.472618695616934,0.63690090227387,0.828911506809458,-6.29856517129462
WS3,TreatmentCONV...TreatmentRWA,-0.390400033224216,-1.53735382777893,0.756553761330496,1.27227236497073,-0.670404076598394,0.50322405717794,0.787608964859048,-6.31255270468222
[Thermi],TreatmentCONV...TreatmentRWA,-0.144143063015266,-1.45019663684781,1.16191051081728,1.14114498351768,-0.217372939186793,0.828096452729123,0.89296032921666,-6.3827846555604
Elusimicrobia,TreatmentCONV...TreatmentRWA,0.411469276307134,-0.800672358207485,1.62361091082175,1.07921061903371,0.66858521316226,0.504381948084589,0.787608964859048,-6.26020736354952
TM7,TreatmentCONV...TreatmentRWA,-0.0876601677744198,-1.46801406080444,1.2926937252556,0.861810310781413,-0.125079050615866,0.900562300209958,0.944492168512883,-6.34442144832484
Cyanobacteria,TreatmentCONV...TreatmentRWA,0.589890875405307,-0.799683638259394,1.97946538907001,0.830916808654744,0.836108351546427,0.403898828810852,0.694705985554666,-6.00656017341673
Chlorobi,TreatmentCONV...TreatmentRWA,-0.227496290001502,-1.71277040404719,1.25777782404419,0.760726960676007,-0.30167576980362,0.763152060369078,0.886906448537036,-6.23715351049438
AD3,TreatmentCONV...TreatmentRWA,-0.343480021675568,-1.89460438614584,1.20764434279471,0.657983056934879,-0.436141672925783,0.663113373071983,0.828911506809458,-6.14770759671019
Chlamydiae,TreatmentCONV...TreatmentRWA,0.901162395623569,-0.663053763694905,2.46537855494204,0.611120298905515,1.1346946725757,0.257598826224317,0.684899251692189,-5.61182899227338
Spirochaetes,TreatmentCONV...TreatmentRWA,-0.628429970530982,-1.94540826450215,0.688548323440187,0.593385299216547,-0.939833659275347,0.348217392326735,0.684899251692189,-5.9680351941582
NC10,TreatmentCONV...TreatmentRWA,0.926719895201887,-0.533227253445898,2.38666704384967,0.590442800449403,1.25021318740152,0.212400102202085,0.684899251692189,-5.54214458588715
Fusobacteria,TreatmentCONV...TreatmentRWA,-2.52442780447411,-4.01138489559506,-1.03747071335317,0.528321288289009,-3.34377650330415,0.000954310279980094,0.0136784473463813,-0.881879372816863
NKB19,TreatmentCONV...TreatmentRWA,0.621628492932195,-1.46027295213371,2.7035299379981,0.401632592563125,0.588089559042329,0.557007340687441,0.825907436191723,-5.79806446361198
Synergistetes,TreatmentCONV...TreatmentRWA,0.829928310130854,-0.776904072265339,2.43676069252705,0.395672612515699,1.01728520167897,0.310009192304092,0.684899251692189,-5.70857606038288
BRC1,TreatmentCONV...TreatmentRWA,0.228311012159811,-1.87219520879188,2.32881723311151,0.333715153830665,0.214079760570435,0.830660771364335,0.89296032921666,-5.92999626006794
FBP,TreatmentCONV...TreatmentRWA,-0.0170581598963913,-1.71782862502972,1.68371230523693,0.281574726279942,-0.0197541887273119,0.98425534697863,0.98425534697863,-6.15074012766633
Deferribacteres,TreatmentCONV...TreatmentRWA,1.16047334951831,-1.2649806977196,3.58592739675622,0.180174583900038,0.942355660193462,0.346927666130199,0.684899251692189,-5.41291459394494
GAL15,TreatmentCONV...TreatmentRWA,1.77678238571942,-0.648671661518495,4.20223643295733,0.172787172559706,1.4428258424114,0.150331391486851,0.605204557841047,-4.86773141702172
