Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Lactobacillus unclassified_species,TreatmentCONV...TreatmentRWA,-0.13551259097051,-0.719227821782363,0.448202639841343,14.4867920813554,-0.455308475353782,0.648939780628987,0.690201847605396,-6.97342621868866
Lactococcus unclassified_species,TreatmentCONV...TreatmentRWA,-0.115833974039004,-0.699549204850857,0.467881256772849,14.380655088503,-0.389190330847898,0.697179327053215,0.737247104470067,-7.00114925905986
Iodobacter fluviatilis,TreatmentCONV...TreatmentRWA,-0.0441780472022515,-0.627893278014105,0.539537183609602,11.3906626037088,-0.148433729823244,0.88201636283974,0.893345013371626,-7.06541478413202
Leuconostoc unclassified_species,TreatmentCONV...TreatmentRWA,-1.54404944995416,-2.12776468076601,-0.960334219142304,10.7958637991233,-5.18784856738856,2.35623331484686e-07,2.03791178262258e-06,6.28639285416856
unclassified_genus unclassified_species,TreatmentCONV...TreatmentRWA,-0.0591794825193066,-0.64289471333116,0.524535748292546,10.1252784730671,-0.198837021454006,0.842411683991044,0.857954334987189,-7.05672421405202
Pseudomonas fragi,TreatmentCONV...TreatmentRWA,-0.904429347983926,-1.48814457879578,-0.320714117172073,9.66346556396135,-3.03879030388689,0.00240794897649431,0.00612528956232654,-2.49153047677239
Carnobacterium viridans,TreatmentCONV...TreatmentRWA,-2.40571983708319,-2.98943506789504,-1.82200460627133,7.93279174948335,-8.08297312674849,1.11814939380491e-15,7.71523081725387e-14,25.3623451467929
Brochothrix unclassified_species,TreatmentCONV...TreatmentRWA,-2.21685448991799,-2.80056972072984,-1.63313925910613,6.16089147994683,-7.44840483572038,1.43051460045744e-13,6.58036716210421e-12,20.4689586913624
Clostridium unclassified_species,TreatmentCONV...TreatmentRWA,1.35798446046081,0.728867713708223,1.9871012072134,6.13734342455312,4.23341325560724,2.41243066179434e-05,0.000114798424595731,1.88614269005623
Rubrobacter unclassified_species,TreatmentCONV...TreatmentRWA,-0.862367920902651,-1.4460831517145,-0.278652690090798,5.32249412200846,-2.89746820164956,0.00380531484569928,0.00890056692722881,-2.90805833585414
Clostridium butyricum,TreatmentCONV...TreatmentRWA,4.08639986959924,3.45806418829201,4.71473555090646,5.1343120221831,12.7548762706907,8.45220891692581e-36,4.66561932214305e-33,73.6815448957758
Clostridium perfringens,TreatmentCONV...TreatmentRWA,2.92482348852288,2.32184309217065,3.52780388487511,5.04341865314376,9.51313324964467,5.42747740126833e-21,7.48991881375029e-19,37.8681017507693
Stenotrophomonas geniculata,TreatmentCONV...TreatmentRWA,-0.130180003620482,-0.734339384804442,0.473979377563478,4.46953456556122,-0.422590633469445,0.672642172826541,0.714035537308174,-6.95355587292711
Acinetobacter unclassified_species,TreatmentCONV...TreatmentRWA,-0.717807115772788,-1.39267158024741,-0.0429426512981675,4.40785548053537,-2.08601923979608,0.0371110708695727,0.0624552168292808,-4.77699107634839
Streptococcus infantis,TreatmentCONV...TreatmentRWA,-0.404066090244601,-1.00681193438295,0.198679753893746,4.34933075384152,-1.31475639470392,0.188751759185487,0.251062580892504,-6.18665514262393
DA101 unclassified_species,TreatmentCONV...TreatmentRWA,-2.86787226466366,-3.59930801818785,-2.13643651113946,4.24367673877204,-7.68972359626368,2.35855049392036e-14,1.30191987264404e-12,22.3897015045691
Pseudomonas veronii,TreatmentCONV...TreatmentRWA,1.61875040675031,0.830637251223901,2.40686356227671,4.18578503025481,4.02826863278465,5.84197592305716e-05,0.000255934183295838,1.23160171721999
Streptococcus unclassified_species,TreatmentCONV...TreatmentRWA,-1.09959810473477,-1.76249288329249,-0.436703326177048,4.05466449301292,-3.25324293612652,0.00116113761477679,0.00333827064248326,-1.70601575204901
Serratia marcescens,TreatmentCONV...TreatmentRWA,-0.583263627493047,-1.29561374978343,0.129086494797337,3.88818873319023,-1.60582606311481,0.108479672582533,0.156346682155505,-5.60295500642735
Kaistobacter unclassified_species,TreatmentCONV...TreatmentRWA,-0.908597330005279,-1.63770302077674,-0.179491639233817,3.85872357768495,-2.44403870507406,0.0146149911763906,0.0284066025681958,-3.90171244782913
Serratia unclassified_species,TreatmentCONV...TreatmentRWA,-0.876790968625158,-1.5420508975933,-0.211531039657013,3.85033482372407,-2.58482897710288,0.00981727207714106,0.0205270234340222,-3.63625591005113
Lactobacillus salivarius,TreatmentCONV...TreatmentRWA,0.229042213807817,-0.432289725559214,0.890374153174849,3.80400474129335,0.679239832281288,0.497069325997265,0.547669197505969,-6.72388643457376
Rhodoplanes unclassified_species,TreatmentCONV...TreatmentRWA,0.0219528303765992,-0.716385410642073,0.760291071395271,3.79688768136318,0.058312581786692,0.953505828043689,0.955236328639049,-6.84177813481643
